Yrs_Ed,Sthrn_Rgn,Sex,Yrs_Exprnc,Union,Wage,Age,Race,Occup,Sect,Marr
18,0,0,14,0,22.5,38,W,Mngmnt,Other,1
13,0,1,33,0,4.55,52,W,Sales,Other,1
12,0,0,16,0,9,34,W,Sales,Other,1
18,0,0,10,0,13.33,34,W,Sales,Other,1
14,0,0,22,0,15,42,W,Sales,Other,0
14,0,0,2,0,7.5,22,W,Sales,Other,0
12,1,1,29,0,4.25,47,W,Sales,Other,1
12,0,0,43,0,12.5,61,W,Sales,Manf,1
12,0,1,5,0,5.13,23,W,Sales,Other,1
16,1,1,14,0,3.35,36,O,Sales,Other,1
12,1,0,28,0,11.11,46,W,Sales,Other,1
11,1,1,25,0,3.84,42,O,Sales,Other,1
12,0,1,45,0,6.4,63,W,Sales,Other,1
14,1,0,5,0,5.56,25,W,Sales,Other,0
12,1,0,20,0,10,38,W,Sales,Manf,1
16,0,1,6,0,5.65,28,W,Sales,Other,1
16,0,0,16,0,11.5,38,W,Sales,Other,1
11,0,1,33,0,3.5,50,W,Sales,Other,1
13,1,1,2,0,3.35,21,W,Sales,Other,1
12,1,1,10,0,4.75,28,W,Sales,Other,0
14,1,0,44,0,19.98,64,W,Sales,Other,1
14,1,1,6,0,3.5,26,W,Sales,Other,1
12,0,1,15,0,4,33,W,Sales,Other,0
12,0,0,5,0,7,23,W,Sales,Other,1
13,0,1,4,0,6.25,23,W,Sales,Manf,1
14,0,0,14,0,4.5,34,W,Sales,Other,1
14,0,1,32,0,14.29,52,W,Sales,Other,1
12,0,1,14,0,5,32,W,Sales,Other,1
14,0,0,21,0,13.75,41,W,Sales,Other,1
12,0,0,43,1,13.71,61,W,Sales,Other,1
12,1,1,27,0,7.5,45,O,Sales,Other,1
12,0,1,4,0,3.8,22,W,Sales,Other,0
14,0,0,0,0,5,20,H,Sales,Other,0
12,1,0,32,0,9.42,50,W,Sales,Other,1
12,0,0,20,0,5.5,38,W,Sales,Other,1
15,1,0,4,0,3.75,25,W,Sales,Other,0
12,0,0,34,0,3.5,52,W,Sales,Other,1
13,0,0,5,0,5.8,24,W,Sales,Other,0
17,0,0,13,0,12,36,W,Sales,Manf,1
14,0,1,17,0,5,37,H,Clerical,Other,1
13,1,1,10,0,8.75,29,W,Clerical,Other,1
16,0,1,7,0,10,29,W,Clerical,Other,1
12,0,1,25,0,8.5,43,W,Clerical,Other,0
12,0,1,18,0,8.63,36,O,Clerical,Other,1
16,0,1,27,0,9,49,W,Clerical,Manf,1
16,0,1,2,0,5.5,24,W,Clerical,Other,0
13,0,0,13,0,11.11,32,W,Clerical,Other,1
14,0,1,24,0,10,44,W,Clerical,Other,0
18,1,1,13,0,5.2,37,H,Clerical,Other,1
14,0,1,15,1,8,35,W,Clerical,Other,0
12,1,1,12,0,3.56,30,H,Clerical,Other,0
12,0,1,24,0,5.2,42,W,Clerical,Other,1
12,0,1,43,0,11.67,61,W,Clerical,Con,1
12,0,1,13,0,11.32,31,W,Clerical,Manf,1
12,1,1,16,0,7.5,34,W,Clerical,Other,1
11,0,1,24,0,5.5,41,W,Clerical,Other,1
16,1,1,4,0,5,26,W,Clerical,Other,1
12,0,1,24,0,7.75,42,W,Clerical,Other,1
12,0,1,45,0,5.25,63,W,Clerical,Other,1
12,0,0,20,1,9,38,W,Clerical,Other,1
12,0,1,38,0,9.65,56,W,Clerical,Other,1
18,1,0,10,0,5.21,34,W,Clerical,Other,1
11,0,1,16,0,7,33,O,Clerical,Other,1
12,1,1,32,0,12.16,50,O,Clerical,Other,1
16,1,1,2,0,5.25,24,W,Clerical,Other,0
13,1,1,28,0,10.32,47,W,Clerical,Other,0
16,0,0,3,0,3.35,25,O,Clerical,Other,0
13,0,1,8,1,7.7,27,W,Clerical,Other,0
12,0,1,44,0,9.17,62,W,Clerical,Manf,1
12,1,0,12,0,8.43,30,W,Clerical,Other,1
12,1,0,8,0,4,26,O,Clerical,Other,1
12,0,1,4,0,4.13,22,W,Clerical,Other,1
12,1,1,28,0,3,46,W,Clerical,Other,1
13,1,1,0,0,4.25,19,W,Clerical,Other,0
14,1,0,1,0,7.53,21,W,Clerical,Other,0
14,0,1,12,0,10.53,32,W,Clerical,Manf,1
12,0,1,39,0,5,57,W,Clerical,Other,1
12,0,1,24,0,15.03,42,W,Clerical,Other,1
17,0,1,32,0,11.25,55,O,Clerical,Other,1
16,0,0,4,0,6.25,26,O,Clerical,Other,0
12,0,1,25,0,3.5,43,O,Clerical,Other,0
12,0,0,8,0,6.85,26,O,Clerical,Other,0
13,0,1,16,0,12.5,35,W,Clerical,Other,1
12,1,0,5,0,12,23,W,Clerical,Other,0
13,0,0,31,0,6,50,W,Clerical,Other,0
12,0,1,25,0,9.5,43,W,Clerical,Other,0
12,0,1,15,0,4.1,33,W,Clerical,Other,1
14,1,1,15,0,10.43,35,W,Clerical,Other,1
12,0,1,0,0,5,18,W,Clerical,Other,0
12,0,0,19,0,7.69,37,W,Clerical,Other,1
12,0,1,21,0,5.5,39,O,Clerical,Other,0
12,0,1,6,0,6.4,24,W,Clerical,Other,0
12,0,1,14,1,12.5,32,W,Clerical,Other,1
13,0,1,30,0,6.25,49,W,Clerical,Other,1
12,0,1,8,0,8,26,W,Clerical,Other,0
9,0,0,33,1,9.6,48,W,Clerical,Other,0
13,0,0,16,0,9.1,35,H,Clerical,Other,0
12,1,1,20,0,7.5,38,W,Clerical,Other,0
13,1,1,6,0,5,25,W,Clerical,Other,1
12,0,1,10,1,7,28,W,Clerical,Other,1
13,1,1,1,0,3.55,20,W,Clerical,Other,0
12,1,0,2,0,8.5,20,O,Clerical,Other,0
13,1,1,0,0,4.5,19,W,Clerical,Other,0
16,0,0,17,0,7.88,39,O,Clerical,Other,1
12,0,1,8,0,5.25,26,W,Clerical,Other,0
12,1,0,4,0,5,22,W,Clerical,Other,0
12,0,1,15,0,9.33,33,W,Clerical,Other,0
12,0,1,29,0,10.5,47,W,Clerical,Other,1
12,1,1,23,0,7.5,41,O,Clerical,Other,1
12,1,1,39,0,9.5,57,W,Clerical,Other,1
12,1,1,14,0,9.6,32,W,Clerical,Other,1
17,1,1,6,0,5.87,29,O,Clerical,Other,0
14,1,0,12,1,11.02,32,W,Clerical,Other,1
12,1,1,26,0,5,44,W,Clerical,Other,0
14,0,1,32,0,5.62,52,W,Clerical,Other,1
15,0,1,6,0,12.5,27,W,Clerical,Other,1
12,0,1,40,0,10.81,58,W,Clerical,Other,1
12,0,1,18,0,5.4,36,W,Clerical,Manf,1
11,0,1,12,0,7,29,W,Clerical,Other,0
12,1,1,36,0,4.59,54,W,Clerical,Con,1
12,0,1,19,0,6,37,W,Clerical,Other,1
16,0,1,42,0,11.71,64,W,Clerical,Manf,0
13,0,1,2,0,5.62,21,H,Clerical,Other,1
12,0,1,33,0,5.5,51,W,Clerical,Other,1
12,1,1,14,0,4.85,32,W,Clerical,Other,1
12,0,0,22,0,6.75,40,W,Clerical,Other,0
12,0,1,20,0,4.25,38,W,Clerical,Other,1
12,0,1,15,0,5.75,33,W,Clerical,Other,1
12,0,0,35,0,3.5,53,W,Clerical,Other,1
12,0,1,7,0,3.35,25,W,Clerical,Other,1
12,0,1,45,0,10.62,63,W,Clerical,Manf,0
12,0,1,9,0,8,27,W,Clerical,Other,0
12,1,1,2,0,4.75,20,W,Clerical,Other,1
17,1,0,3,0,8.5,26,W,Clerical,Other,0
14,0,1,19,1,8.85,39,O,Clerical,Other,1
12,1,1,14,0,8,32,W,Clerical,Other,1
4,0,0,54,0,6,64,W,Service,Other,1
14,0,0,17,0,7.14,37,W,Service,Other,1
8,0,1,29,0,3.4,43,O,Service,Other,1
15,1,1,26,0,6,47,W,Service,Other,0
2,0,0,16,0,3.75,24,H,Service,Other,0
8,0,1,29,0,8.89,43,O,Service,Other,0
11,0,1,20,0,4.35,37,W,Service,Other,1
10,1,1,38,0,13.1,54,O,Service,Other,1
8,1,1,37,0,4.35,51,O,Service,Other,1
9,0,0,48,0,3.5,63,W,Service,Other,0
12,0,1,16,0,3.8,34,W,Service,Other,0
8,0,1,38,0,5.26,52,W,Service,Other,1
14,0,0,0,0,3.35,20,O,Service,Other,0
12,0,0,14,1,16.26,32,O,Service,Other,0
12,0,1,2,0,4.25,20,W,Service,Other,1
16,0,0,21,0,4.5,43,W,Service,Other,1
13,0,1,15,0,8,34,W,Service,Other,1
16,0,1,20,0,4,42,W,Service,Other,0
14,0,1,12,0,7.96,32,W,Service,Other,1
12,1,0,7,0,4,25,H,Service,Other,0
11,0,0,4,0,4.15,21,W,Service,Other,1
13,1,0,9,0,5.95,28,W,Service,Other,1
12,1,1,43,0,3.6,61,H,Service,Other,1
10,1,0,19,0,8.75,35,W,Service,Other,0
8,0,1,49,0,3.4,63,W,Service,Other,0
12,0,1,38,0,4.28,56,W,Service,Other,1
12,0,1,13,0,5.35,31,W,Service,Other,1
12,0,1,14,0,5,32,W,Service,Other,1
12,0,0,20,0,7.65,38,W,Service,Other,0
12,0,1,7,0,6.94,25,W,Service,Other,0
12,0,1,9,1,7.5,27,W,Service,Manf,1
12,0,1,6,0,3.6,24,W,Service,Other,0
12,1,1,5,0,1.75,23,W,Service,Other,1
13,1,1,1,0,3.45,20,O,Service,Other,0
14,0,0,22,1,9.63,42,W,Service,Other,1
12,0,1,24,0,8.49,42,W,Service,Other,1
12,0,1,15,1,8.99,33,W,Service,Other,0
11,1,1,8,0,3.65,25,W,Service,Other,1
11,1,1,17,0,3.5,34,W,Service,Other,1
12,1,0,2,0,3.43,20,O,Service,Other,0
12,1,0,20,0,5.5,38,W,Service,Other,1
12,0,0,26,1,6.93,44,W,Service,Other,1
10,1,1,37,0,3.51,53,O,Service,Other,1
12,0,1,41,0,3.75,59,W,Service,Other,0
12,0,1,27,0,4.17,45,W,Service,Other,1
12,0,1,5,1,9.57,23,W,Service,Other,1
14,0,0,16,0,14.67,36,O,Service,Other,1
14,0,1,19,0,12.5,39,W,Service,Other,1
12,0,0,10,0,5.5,28,W,Service,Other,1
13,1,0,1,1,5.15,20,W,Service,Other,0
12,0,1,43,1,8,61,O,Service,Other,1
13,0,0,3,0,5.83,22,O,Service,Other,0
12,0,1,0,0,3.35,18,W,Service,Other,0
12,1,1,26,0,7,44,W,Service,Other,1
10,0,1,25,1,10,41,W,Service,Other,1
12,0,1,15,0,8,33,W,Service,Other,1
14,1,1,10,0,6.88,30,W,Service,Other,0
11,0,1,45,1,5.55,62,W,Service,Other,0
11,0,0,3,0,7.5,20,O,Service,Other,0
8,0,0,47,1,8.93,61,H,Service,Other,1
16,0,1,6,0,9,28,O,Service,Other,1
10,1,1,33,0,3.5,49,W,Service,Other,0
16,0,0,3,0,5.77,25,W,Service,Manf,0
14,0,0,4,1,25,24,H,Service,Other,0
14,0,0,34,1,6.85,54,O,Service,Other,1
11,1,0,39,0,6.5,56,W,Service,Other,1
12,1,1,17,0,3.75,35,W,Service,Other,1
9,0,0,47,1,3.5,62,W,Service,Other,1
11,0,0,2,0,4.5,19,W,Service,Other,0
13,1,0,0,0,2.01,19,W,Service,Other,0
14,0,1,24,0,4.17,44,W,Service,Other,0
12,0,0,25,1,13,43,O,Service,Other,1
14,0,1,6,0,3.98,26,W,Service,Other,0
12,0,1,10,0,7.5,28,W,Service,Other,0
12,0,1,33,0,13.12,51,O,Service,Other,1
12,0,0,12,0,4,30,W,Service,Other,0
12,1,1,9,0,3.95,27,W,Service,Other,1
11,1,0,18,1,13,35,W,Service,Other,1
12,0,0,10,0,9,28,W,Service,Other,1
8,1,1,45,0,4.55,59,W,Service,Other,0
9,0,1,46,1,9.5,61,W,Service,Other,1
7,1,0,14,0,4.5,27,H,Service,Other,1
11,0,1,36,0,8.75,53,W,Service,Other,0
13,0,0,34,1,10,53,W,Prof,Con,1
18,0,0,15,0,18,39,W,Prof,Other,1
17,0,0,31,0,24.98,54,W,Prof,Manf,1
16,0,1,6,0,12.05,28,W,Prof,Manf,0
14,1,0,15,0,22,35,W,Prof,Other,1
12,0,0,30,0,8.75,48,W,Prof,Other,1
18,0,0,8,0,22.2,32,W,Prof,Other,1
18,0,0,5,0,17.25,29,W,Prof,Manf,1
17,0,1,3,1,6,26,W,Prof,Other,0
13,1,0,17,0,8.06,36,W,Prof,Other,1
16,0,0,5,1,9.24,27,O,Prof,Manf,1
14,0,1,10,0,12,30,W,Prof,Other,1
15,0,1,33,0,10.61,54,W,Prof,Other,0
18,0,0,3,0,5.71,27,W,Prof,Other,1
16,0,1,0,0,10,18,W,Prof,Other,0
16,1,0,13,0,17.5,35,O,Prof,Other,1
18,0,0,12,0,15,36,W,Prof,Other,1
16,0,1,6,0,7.78,28,W,Prof,Other,1
17,0,0,7,0,7.8,30,W,Prof,Other,1
16,1,0,14,1,10,36,W,Prof,Other,1
17,0,1,5,0,24.98,28,W,Prof,Other,0
15,1,1,10,0,10.28,31,W,Prof,Other,1
18,0,1,11,0,15,35,W,Prof,Other,1
17,0,1,24,0,12,47,W,Prof,Other,1
16,0,0,9,0,10.58,31,W,Prof,Manf,0
18,1,0,12,0,5.85,36,W,Prof,Other,1
18,0,0,19,0,11.22,43,W,Prof,Other,1
14,0,1,14,0,8.56,34,W,Prof,Other,1
16,0,1,17,0,13.89,39,W,Prof,Manf,0
18,1,0,7,0,5.71,31,W,Prof,Other,0
18,0,0,7,0,15.79,31,W,Prof,Other,1
16,0,1,22,0,7.5,44,W,Prof,Other,1
12,0,1,28,0,11.25,46,W,Prof,Other,1
16,0,1,16,0,6.15,38,W,Prof,Other,0
16,1,0,16,0,13.45,38,O,Prof,Other,0
16,0,1,7,0,6.25,29,W,Prof,Other,1
12,0,1,11,0,6.5,29,W,Prof,Other,0
12,0,1,11,0,12,29,W,Prof,Other,1
12,0,1,16,0,8.5,34,W,Prof,Other,0
18,0,0,33,1,8,57,W,Prof,Other,0
12,1,1,21,0,5.75,39,W,Prof,Other,1
16,0,0,4,0,15.73,26,W,Prof,Manf,1
15,0,0,13,0,9.86,34,W,Prof,Other,1
18,0,0,14,1,13.51,38,W,Prof,Other,1
16,0,1,10,0,5.4,32,W,Prof,Other,1
18,1,0,14,0,6.25,38,W,Prof,Other,1
16,1,0,29,0,5.5,51,W,Prof,Other,1
12,0,0,4,0,5,22,H,Prof,Other,0
18,0,0,27,0,6.25,51,O,Prof,Other,1
12,0,0,3,0,5.75,21,W,Prof,Other,1
16,1,0,14,1,20.5,36,W,Prof,Other,1
14,0,0,0,0,5,20,W,Prof,Con,1
18,0,0,33,0,7,57,W,Prof,Other,1
16,1,0,38,0,18,60,W,Prof,Other,1
18,0,1,18,1,12,42,W,Prof,Other,1
17,0,0,3,0,20.4,26,W,Prof,Manf,0
18,0,1,40,0,22.2,64,W,Prof,Other,0
14,0,0,19,0,16.42,39,W,Prof,Manf,0
14,0,1,4,0,8.63,24,W,Prof,Other,0
16,0,1,11,0,19.38,33,W,Prof,Other,1
16,0,1,16,0,14,38,W,Prof,Other,1
14,0,0,22,0,10,42,W,Prof,Other,1
17,0,1,13,1,15.95,36,W,Prof,Other,0
16,1,1,28,1,20,50,W,Prof,Other,1
16,0,1,10,0,10,32,W,Prof,Other,1
16,1,1,5,0,24.98,27,W,Prof,Other,0
15,0,0,5,0,11.25,26,W,Prof,Other,0
18,0,1,37,0,22.83,61,W,Prof,Manf,0
17,0,1,26,1,10.2,49,W,Prof,Other,1
16,1,1,4,0,10,26,W,Prof,Other,1
18,0,1,31,1,14,55,W,Prof,Other,0
17,0,1,13,1,12.5,36,W,Prof,Other,1
12,0,1,42,0,5.79,60,W,Prof,Other,1
17,0,0,18,0,24.98,41,H,Prof,Other,1
12,0,1,3,0,4.35,21,W,Prof,Other,1
17,0,1,10,0,11.25,33,W,Prof,Other,0
16,0,1,10,1,6.67,32,W,Prof,Other,0
16,0,1,17,0,8,39,H,Prof,Other,1
18,0,0,7,0,18.16,31,W,Prof,Other,1
16,0,1,14,0,12,36,W,Prof,Other,1
16,0,1,22,1,8.89,44,W,Prof,Other,1
17,0,1,14,0,9.5,37,W,Prof,Other,1
16,0,0,11,0,13.65,33,W,Prof,Other,1
18,0,0,23,1,12,47,W,Prof,Other,1
12,0,0,39,1,15,57,W,Prof,Other,1
16,0,0,15,0,12.67,37,W,Prof,Other,1
14,0,1,15,0,7.38,35,H,Prof,Other,0
16,0,0,10,0,15.56,32,W,Prof,Other,0
12,1,1,25,0,7.45,43,W,Prof,Other,0
14,0,1,12,0,6.25,32,W,Prof,Other,1
